Episode Type,Timestamp,Duration (sec),Intensity/Score
Yawn,2026-03-18 20:37:53.553320,-,0.543
Yawn,2026-03-18 20:37:53.609373,-,0.527
Yawn,2026-03-18 20:37:53.613724,-,0.527
Yawn,2026-03-18 20:37:53.676852,-,0.427
Yawn,2026-03-18 20:37:53.677827,-,0.427
Yawn,2026-03-18 20:52:49.646126,-,0.649
Yawn,2026-03-18 20:52:49.663783,-,0.67
Yawn,2026-03-18 20:52:49.739056,-,0.681
Yawn,2026-03-18 20:52:49.756768,-,0.695
Yawn,2026-03-18 20:52:49.774469,-,0.691
Yawn,2026-03-18 20:52:49.836813,-,0.719
Yawn,2026-03-18 20:52:49.853993,-,0.709
Yawn,2026-03-18 20:52:49.872988,-,0.715
Yawn,2026-03-18 20:52:49.931738,-,0.727
Yawn,2026-03-18 20:52:49.951790,-,0.686
Yawn,2026-03-18 20:52:49.971301,-,0.697
Yawn,2026-03-18 20:52:50.026913,-,0.678
Yawn,2026-03-18 20:52:50.047066,-,0.683
Yawn,2026-03-18 20:52:50.067200,-,0.696
Yawn,2026-03-18 20:52:50.138371,-,0.713
Yawn,2026-03-18 20:52:50.156617,-,0.718
Yawn,2026-03-18 20:52:50.176048,-,0.71
Yawn,2026-03-18 20:52:50.235378,-,0.755
Yawn,2026-03-18 20:52:50.252907,-,0.758
Yawn,2026-03-18 20:52:50.271679,-,0.761
Yawn,2026-03-18 20:52:50.331030,-,0.757
Yawn,2026-03-18 20:52:50.360459,-,0.757
Yawn,2026-03-18 20:52:50.384668,-,0.769
Yawn,2026-03-18 20:52:50.427234,-,0.497
Yawn,2026-03-18 20:52:50.448996,-,0.522
Yawn,2026-03-18 20:52:50.469646,-,0.526
Yawn,2026-03-18 20:53:40.257772,-,0.656
Yawn,2026-03-18 20:53:40.275462,-,0.642
Yawn,2026-03-18 20:53:40.333300,-,0.596
Yawn,2026-03-18 20:53:40.352292,-,0.621
Yawn,2026-03-18 20:53:40.370035,-,0.647
Yawn,2026-03-18 20:53:40.454716,-,0.601
Yawn,2026-03-18 20:53:40.475840,-,0.612
Yawn,2026-03-18 20:53:40.495483,-,0.612
Yawn,2026-03-18 20:53:40.543246,-,0.658
Yawn,2026-03-18 20:53:40.561237,-,0.648
Yawn,2026-03-18 20:53:40.581248,-,0.657
Yawn,2026-03-18 20:53:40.636518,-,0.621
Yawn,2026-03-18 20:53:40.657276,-,0.594
Yawn,2026-03-18 20:53:40.675687,-,0.571
Yawn,2026-03-18 20:53:40.734935,-,0.577
Yawn,2026-03-18 20:53:40.752616,-,0.573
Yawn,2026-03-18 20:53:40.773304,-,0.548
Yawn,2026-03-18 20:53:40.791884,-,0.576
Yawn,2026-03-18 20:53:40.846696,-,0.523
Yawn,2026-03-18 20:53:40.869214,-,0.543
Yawn,2026-03-18 20:53:40.940483,-,0.518
Yawn,2026-03-18 20:53:40.961462,-,0.487
Yawn,2026-03-18 20:53:40.983839,-,0.543
Yawn,2026-03-18 20:53:41.039081,-,0.523
Yawn,2026-03-18 20:53:41.058398,-,0.529
Yawn,2026-03-18 20:53:41.077556,-,0.55
Yawn,2026-03-18 20:53:41.134491,-,0.431
Yawn,2026-03-18 20:53:41.153999,-,0.452
Yawn,2026-03-18 20:53:41.172649,-,0.468
Yawn,2026-03-18 20:53:41.192194,-,0.484
Yawn,2026-03-18 20:54:07.213464,-,0.676
Yawn,2026-03-18 20:54:07.233381,-,0.716
Yawn,2026-03-18 20:54:07.277715,-,0.684
Yawn,2026-03-18 20:54:07.341558,-,0.69
Yawn,2026-03-18 20:54:07.360385,-,0.665
Yawn,2026-03-18 20:54:07.405080,-,0.762
Yawn,2026-03-18 20:54:07.422208,-,0.736
Yawn,2026-03-18 20:54:07.471392,-,0.759
Yawn,2026-03-18 20:54:07.488527,-,0.723
Yawn,2026-03-18 20:54:07.504693,-,0.748
Yawn,2026-03-18 20:54:07.548475,-,0.745
Yawn,2026-03-18 20:54:07.566899,-,0.704
Yawn,2026-03-18 20:54:07.614575,-,0.742
Yawn,2026-03-18 20:54:07.636174,-,0.71
Yawn,2026-03-18 20:54:07.677878,-,0.541
